Date,Open,High,Low,Close*,Adj Close**,Volume
23-May-23,186.2,192.96,185.26,185.77,185.77,"156,952,100"
22-May-23,180.7,189.32,180.11,188.87,188.87,"132,001,400"
19-May-23,177.17,181.95,176.31,180.14,180.14,"136,024,200"
18-May-23,174.22,177.06,172.45,176.89,176.89,"109,520,300"
17-May-23,168.41,174.5,167.19,173.86,173.86,"125,473,600"
16-May-23,165.65,169.52,164.35,166.52,166.52,"98,288,800"
15-May-23,167.66,169.76,164.55,166.35,166.35,"105,592,500"
12-May-23,176.07,177.38,167.23,167.98,167.98,"157,577,100"
11-May-23,168.7,173.57,166.79,172.08,172.08,"103,889,900"
10-May-23,172.55,174.43,166.68,168.54,168.54,"119,840,700"
9-May-23,168.95,169.82,166.56,169.15,169.15,"88,965,000"
8-May-23,173.72,173.8,169.19,171.79,171.79,"112,249,400"
5-May-23,163.97,170.79,163.51,170.06,170.06,"107,440,900"
4-May-23,162.71,162.95,159.65,161.2,161.2,"95,108,500"
3-May-23,160.01,165,159.91,160.61,160.61,"119,728,000"
2-May-23,161.88,165.49,158.93,160.31,160.31,"128,259,700"
1-May-23,163.17,163.28,158.83,161.83,161.83,"109,015,000"
28-Apr-23,160.9,165,157.32,164.31,164.31,"122,515,800"
27-Apr-23,152.64,160.48,152.37,160.19,160.19,"127,015,200"
26-Apr-23,160.29,160.67,153.14,153.75,153.75,"153,364,100"
25-Apr-23,159.82,163.47,158.75,160.67,160.67,"121,999,300"
24-Apr-23,164.65,165.65,158.61,162.55,162.55,"140,006,600"
21-Apr-23,164.8,166,161.32,165.08,165.08,"123,539,000"
20-Apr-23,166.17,169.7,160.56,162.99,162.99,"210,970,800"
19-Apr-23,179.1,183.5,177.65,180.59,180.59,"125,732,700"
18-Apr-23,187.15,187.69,183.58,184.31,184.31,"92,067,000"
17-Apr-23,186.32,189.69,182.69,187.04,187.04,"116,662,200"
14-Apr-23,183.95,186.28,182.01,185,185,"96,438,700"
13-Apr-23,182.96,186.5,180.94,185.9,185.9,"112,933,000"
12-Apr-23,190.74,191.58,180.31,180.54,180.54,"150,256,300"
